wave_size,num_simulations,classical_sims_per_sec,classical_time_ms,classical_memory_mb,classical_bottleneck,tree_level_sims_per_sec,tree_level_time_ms,tree_level_memory_mb,tree_level_bottleneck,tree_level_quantum_calls,tree_level_total_calls,one_loop_sims_per_sec,one_loop_time_ms,one_loop_memory_mb,one_loop_bottleneck,one_loop_quantum_calls,one_loop_total_calls
3072,1000,111277.6810456316,8.986528031527996,2823.37890625,selection,34065.633133132695,29.35509802773595,2838.546875,selection,12,28,34479.00746102904,29.00315506849438,2838.546875,selection,29,45
3072,5000,298918.5078052636,16.726966947317123,2823.3935546875,selection,93060.69469490372,53.72837604954839,4236.19580078125,selection,48,90,94020.64090797302,53.17981191910803,4238.9150390625,selection,87,129
3072,10000,338370.7493741728,29.553381958976388,2825.29736328125,selection,97375.145918164,102.69560990855098,4236.19580078125,selection,131,219,99168.620890232,100.83834896795452,4238.9150390625,selection,216,304
3072,25000,404490.0854713177,61.80621206294745,2874.03271484375,selection,99057.62559688094,252.37834895960987,4236.19580078125,selection,320,504,96034.64055740842,260.322732036002,4238.9150390625,selection,574,758
3072,50000,442881.733417368,112.89695696905255,2874.03271484375,selection,85969.73997197492,581.5999910701066,4236.19580078125,selection,867,1227,83767.22072721591,596.8921920284629,4238.9150390625,selection,1441,1801
