cProfile Report
Configuration: wave_size=1824, simulations=50000
Performance: 10,685 sims/s
================================================================================
         927184 function calls (684485 primitive calls) in 4.677 seconds

   Ordered by: cumulative time
   List reduced from 214 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    4.677    4.677 /home/cosmo/omoknuni_quantum/python/mcts/core/mcts.py:134(search)
        1    0.000    0.000    4.677    4.677 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:130(search)
       28    0.000    0.000    4.676    0.167 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:205(_search_wave)
      112    0.004    0.000    4.456    0.040 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:390(_profile_phase)
       28    0.000    0.000    2.916    0.104 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:368(instrumented_expand)
      429    0.636    0.001    2.020    0.005 {built-in method time.sleep}
       28    0.000    0.000    1.579    0.056 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:365(instrumented_select)
       28    0.094    0.003    0.949    0.034 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:289(_expand_batch)
      267    0.163    0.001    0.867    0.003 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:213(clone_states)
       28    0.186    0.007    0.808    0.029 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:226(_select_batch)
      267    0.376    0.001    0.680    0.003 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:415(add_children_batch)
      430    0.064    0.000    0.591    0.001 /home/cosmo/venv/lib/python3.12/site-packages/psutil/__init__.py:1009(cpu_percent)
     1294    0.561    0.000    0.562    0.000 {built-in method torch.where}
      122    0.204    0.002    0.516    0.004 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:972(batch_action_to_child)
      860    0.047    0.000    0.442    0.001 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_common.py:452(wrapper)
      267    0.060    0.000    0.419    0.002 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:119(allocate_states)
      430    0.047    0.000    0.407    0.001 /home/cosmo/venv/lib/python3.12/site-packages/psutil/__init__.py:1964(virtual_memory)
      859    0.334    0.000    0.334    0.000 {method 'cpu' of 'torch._C.TensorBase' objects}
      267    0.311    0.001    0.311    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:153(_reset_states)
      122    0.001    0.000    0.269    0.002 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:782(batch_select_ucb_optimized)
     1514    0.024    0.000    0.253    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:225(memory_stats)
      267    0.247    0.001    0.247    0.001 {built-in method torch.repeat_interleave}
      150    0.195    0.001    0.200    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:738(batch_get_children)
243754/1514    0.148    0.000    0.190    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:314(_recurse_add_to_result)
      857    0.179    0.000    0.179    0.000 {built-in method torch.tensor}
      267    0.175    0.001    0.175    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:1198(set_expanded)
      122    0.000    0.000    0.163    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:1257(ensure_consistent)
       28    0.049    0.002    0.151    0.005 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:1205(_rebuild_row_pointers)
      860    0.003    0.000    0.138    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:561(memory_reserved)
      654    0.003    0.000    0.121    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:523(memory_allocated)
       28    0.000    0.000    0.120    0.004 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:371(instrumented_evaluate)
      122    0.020    0.000    0.103    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/unified_kernels.py:111(batch_ucb_selection)
       28    0.047    0.002    0.089    0.003 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:400(_evaluate_batch)
      267    0.052    0.000    0.073    0.000 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:299(apply_moves)
 1290/860    0.002    0.000    0.063    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_pslinux.py:1642(wrapper)
       28    0.000    0.000    0.061    0.002 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:374(instrumented_backup)
      430    0.022    0.000    0.040    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_pslinux.py:352(virtual_memory)
      337    0.001    0.000    0.038    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/__init__.py:1030(synchronize)
      430    0.002    0.000    0.038    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_pslinux.py:1863(cpu_times)
       28    0.015    0.001    0.038    0.001 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:459(_backup_batch)
      430    0.003    0.000    0.033    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_pslinux.py:1701(_parse_stat_file)
      226    0.000    0.000    0.031    0.000 {built-in method builtins.next}
      226    0.000    0.000    0.030    0.000 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:186(timer)
     1290    0.002    0.000    0.030    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_common.py:765(open_binary)
