cProfile Report
Configuration: wave_size=2048, simulations=50000
Performance: 11,575 sims/s
================================================================================
         833909 function calls (615255 primitive calls) in 4.317 seconds

   Ordered by: cumulative time
   List reduced from 214 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    4.317    4.317 /home/cosmo/omoknuni_quantum/python/mcts/core/mcts.py:134(search)
        1    0.000    0.000    4.317    4.317 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:130(search)
       25    0.000    0.000    4.316    0.173 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:205(_search_wave)
      100    0.004    0.000    4.213    0.042 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:390(_profile_phase)
       25    0.000    0.000    2.776    0.111 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:368(instrumented_expand)
      387    0.592    0.002    1.822    0.005 {built-in method time.sleep}
       25    0.000    0.000    1.354    0.054 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:365(instrumented_select)
       25    0.087    0.003    0.872    0.035 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:289(_expand_batch)
      229    0.139    0.001    0.749    0.003 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:213(clone_states)
       25    0.205    0.008    0.740    0.030 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:226(_select_batch)
      388    0.055    0.000    0.572    0.001 /home/cosmo/venv/lib/python3.12/site-packages/psutil/__init__.py:1964(virtual_memory)
      229    0.337    0.001    0.542    0.002 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:415(add_children_batch)
     1125    0.501    0.000    0.501    0.000 {built-in method torch.where}
      388    0.056    0.000    0.499    0.001 /home/cosmo/venv/lib/python3.12/site-packages/psutil/__init__.py:1009(cpu_percent)
      107    0.209    0.002    0.433    0.004 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:972(batch_action_to_child)
      229    0.055    0.000    0.383    0.002 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:119(allocate_states)
      229    0.297    0.001    0.297    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:153(_reset_states)
      739    0.295    0.000    0.295    0.000 {method 'cpu' of 'torch._C.TensorBase' objects}
     1364    0.023    0.000    0.238    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:225(memory_stats)
      229    0.217    0.001    0.217    0.001 {built-in method torch.repeat_interleave}
      776    0.018    0.000    0.185    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_common.py:452(wrapper)
      107    0.001    0.000    0.183    0.002 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:782(batch_select_ucb_optimized)
      132    0.173    0.001    0.178    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:738(batch_get_children)
219604/1364    0.139    0.000    0.176    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:314(_recurse_add_to_result)
      737    0.170    0.000    0.170    0.000 {built-in method torch.tensor}
      229    0.162    0.001    0.162    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:1198(set_expanded)
       25    0.000    0.000    0.128    0.005 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:371(instrumented_evaluate)
      776    0.002    0.000    0.127    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:561(memory_reserved)
      588    0.003    0.000    0.116    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:523(memory_allocated)
      107    0.019    0.000    0.091    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/unified_kernels.py:111(batch_ucb_selection)
       25    0.044    0.002    0.086    0.003 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:400(_evaluate_batch)
      107    0.000    0.000    0.082    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:1257(ensure_consistent)
       25    0.045    0.002    0.073    0.003 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:1205(_rebuild_row_pointers)
      229    0.048    0.000    0.067    0.000 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:299(apply_moves)
      388    0.026    0.000    0.061    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_pslinux.py:352(virtual_memory)
 1164/776    0.003    0.000    0.059    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_pslinux.py:1642(wrapper)
       25    0.000    0.000    0.058    0.002 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:374(instrumented_backup)
      388    0.002    0.000    0.039    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_pslinux.py:1863(cpu_times)
      301    0.001    0.000    0.038    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/__init__.py:1030(synchronize)
       25    0.014    0.001    0.034    0.001 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:459(_backup_batch)
      388    0.003    0.000    0.033    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_pslinux.py:1701(_parse_stat_file)
      388    0.001    0.000    0.028    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_common.py:812(bcat)
      202    0.000    0.000    0.028    0.000 {built-in method builtins.next}
      202    0.000    0.000    0.028    0.000 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:186(timer)
      301    0.027    0.000    0.027    0.000 {built-in method torch._C._cuda_synchronize}
      388    0.002    0.000    0.027    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_common.py:795(cat)
      101    0.000    0.000    0.025    0.000 /usr/lib/python3.12/contextlib.py:141(__exit__)
     1164    0.002    0.000    0.025    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_common.py:765(open_binary)
