cProfile Report
Configuration: wave_size=3072, simulations=50000
Performance: 19,622 sims/s
================================================================================
         503378 function calls (371932 primitive calls) in 2.546 seconds

   Ordered by: cumulative time
   List reduced from 214 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    2.546    2.546 /home/cosmo/omoknuni_quantum/python/mcts/core/mcts.py:134(search)
        1    0.000    0.000    2.546    2.546 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:130(search)
       17    0.000    0.000    2.543    0.150 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:205(_search_wave)
       68    0.004    0.000    2.251    0.033 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:390(_profile_phase)
       17    0.000    0.000    1.576    0.093 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:368(instrumented_expand)
      227    0.391    0.002    1.084    0.005 {built-in method time.sleep}
       17    0.000    0.000    0.851    0.050 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:365(instrumented_select)
       17    0.054    0.003    0.524    0.031 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:289(_expand_batch)
      133    0.078    0.001    0.482    0.004 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:213(clone_states)
       17    0.114    0.007    0.482    0.028 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:226(_select_batch)
      228    0.024    0.000    0.389    0.002 /home/cosmo/venv/lib/python3.12/site-packages/psutil/__init__.py:1009(cpu_percent)
      228    0.037    0.000    0.340    0.001 /home/cosmo/venv/lib/python3.12/site-packages/psutil/__init__.py:1964(virtual_memory)
      133    0.182    0.001    0.300    0.002 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:415(add_children_batch)
      685    0.295    0.000    0.295    0.000 {built-in method torch.where}
      133    0.030    0.000    0.272    0.002 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:119(allocate_states)
       67    0.123    0.002    0.267    0.004 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:972(batch_action_to_child)
      435    0.173    0.000    0.173    0.000 {method 'cpu' of 'torch._C.TensorBase' objects}
      133    0.168    0.001    0.168    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:153(_reset_states)
      456    0.007    0.000    0.158    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_common.py:452(wrapper)
      820    0.014    0.000    0.140    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:225(memory_stats)
      133    0.125    0.001    0.125    0.001 {built-in method torch.repeat_interleave}
       84    0.110    0.001    0.114    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:738(batch_get_children)
       67    0.001    0.000    0.110    0.002 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:782(batch_select_ucb_optimized)
132020/820    0.082    0.000    0.105    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:314(_recurse_add_to_result)
      133    0.089    0.001    0.090    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:1198(set_expanded)
      433    0.088    0.000    0.088    0.000 {built-in method torch.tensor}
  684/456    0.006    0.000    0.087    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_pslinux.py:1642(wrapper)
       17    0.000    0.000    0.078    0.005 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:371(instrumented_evaluate)
      456    0.001    0.000    0.076    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:561(memory_reserved)
      364    0.002    0.000    0.068    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:523(memory_allocated)
       67    0.000    0.000    0.053    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:1257(ensure_consistent)
       67    0.011    0.000    0.053    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/unified_kernels.py:111(batch_ucb_selection)
       17    0.028    0.002    0.053    0.003 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:400(_evaluate_batch)
       17    0.029    0.002    0.047    0.003 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:1205(_rebuild_row_pointers)
      133    0.027    0.000    0.038    0.000 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:299(apply_moves)
       17    0.000    0.000    0.037    0.002 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:374(instrumented_backup)
      228    0.013    0.000    0.024    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_pslinux.py:352(virtual_memory)
      205    0.001    0.000    0.023    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/__init__.py:1030(synchronize)
      228    0.001    0.000    0.022    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_pslinux.py:1863(cpu_times)
       17    0.009    0.001    0.022    0.001 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:459(_backup_batch)
      228    0.001    0.000    0.019    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_pslinux.py:1701(_parse_stat_file)
      205    0.018    0.000    0.018    0.000 {built-in method torch._C._cuda_synchronize}
      138    0.000    0.000    0.018    0.000 {built-in method builtins.next}
