cProfile Report
Configuration: wave_size=3648, simulations=25000
Performance: 37,791 sims/s
================================================================================
         148772 function calls (110463 primitive calls) in 0.660 seconds

   Ordered by: cumulative time
   List reduced from 214 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    0.659    0.659 /home/cosmo/omoknuni_quantum/python/mcts/core/mcts.py:134(search)
        1    0.000    0.000    0.659    0.659 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:130(search)
        7    0.000    0.000    0.658    0.094 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:205(_search_wave)
       28    0.001    0.000    0.657    0.023 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:390(_profile_phase)
        7    0.000    0.000    0.337    0.048 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:368(instrumented_expand)
        7    0.000    0.000    0.275    0.039 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:365(instrumented_select)
        7    0.027    0.004    0.217    0.031 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:289(_expand_batch)
        7    0.052    0.007    0.200    0.029 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:226(_select_batch)
       60    0.057    0.001    0.178    0.003 {built-in method time.sleep}
      207    0.085    0.000    0.085    0.000 {built-in method torch.where}
       31    0.016    0.001    0.085    0.003 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:213(clone_states)
       31    0.045    0.001    0.079    0.003 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:415(add_children_batch)
       23    0.035    0.002    0.076    0.003 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:972(batch_action_to_child)
       61    0.013    0.000    0.053    0.001 /home/cosmo/venv/lib/python3.12/site-packages/psutil/__init__.py:1009(cpu_percent)
       31    0.007    0.000    0.045    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:119(allocate_states)
       30    0.041    0.001    0.044    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:738(batch_get_children)
       23    0.000    0.000    0.041    0.002 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:782(batch_select_ucb_optimized)
      239    0.004    0.000    0.039    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:225(memory_stats)
      109    0.037    0.000    0.037    0.000 {method 'cpu' of 'torch._C.TensorBase' objects}
       31    0.034    0.001    0.034    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:153(_reset_states)
        7    0.000    0.000    0.031    0.004 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:371(instrumented_evaluate)
38479/239    0.022    0.000    0.029    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:314(_recurse_add_to_result)
