cProfile Report
Configuration: wave_size=3648, simulations=50000
Performance: 26,109 sims/s
================================================================================
         390024 function calls (288395 primitive calls) in 1.913 seconds

   Ordered by: cumulative time
   List reduced from 214 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    1.913    1.913 /home/cosmo/omoknuni_quantum/python/mcts/core/mcts.py:134(search)
        1    0.000    0.000    1.913    1.913 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:130(search)
       14    0.000    0.000    1.911    0.137 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:205(_search_wave)
       56    0.004    0.000    1.744    0.031 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:390(_profile_phase)
       14    0.000    0.000    1.248    0.089 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:368(instrumented_expand)
      173    0.178    0.001    0.635    0.004 {built-in method time.sleep}
       14    0.000    0.000    0.571    0.041 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:365(instrumented_select)
       14    0.049    0.003    0.439    0.031 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:289(_expand_batch)
      174    0.028    0.000    0.381    0.002 /home/cosmo/venv/lib/python3.12/site-packages/psutil/__init__.py:1964(virtual_memory)
       14    0.110    0.008    0.352    0.025 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:226(_select_batch)
      101    0.063    0.001    0.331    0.003 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:213(clone_states)
      528    0.237    0.000    0.237    0.000 {built-in method torch.where}
      101    0.133    0.001    0.223    0.002 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:415(add_children_batch)
       52    0.108    0.002    0.223    0.004 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:972(batch_action_to_child)
      101    0.024    0.000    0.159    0.002 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:119(allocate_states)
      348    0.017    0.000    0.159    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_common.py:452(wrapper)
      174    0.017    0.000    0.136    0.001 /home/cosmo/venv/lib/python3.12/site-packages/psutil/__init__.py:1009(cpu_percent)
      333    0.131    0.000    0.131    0.000 {method 'cpu' of 'torch._C.TensorBase' objects}
      101    0.123    0.001    0.123    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:153(_reset_states)
      634    0.011    0.000    0.112    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:225(memory_stats)
