cProfile Report
Configuration: wave_size=2048, simulations=5000
Performance: 16,412 sims/s
================================================================================
         67252 function calls (49940 primitive calls) in 0.303 seconds

   Ordered by: cumulative time
   List reduced from 214 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    0.303    0.303 /home/cosmo/omoknuni_quantum/python/mcts/core/mcts.py:134(search)
        1    0.000    0.000    0.303    0.303 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:130(search)
        3    0.000    0.000    0.301    0.100 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:205(_search_wave)
       12    0.002    0.000    0.300    0.025 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:390(_profile_phase)
        3    0.000    0.000    0.155    0.052 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:368(instrumented_expand)
        3    0.000    0.000    0.124    0.041 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:365(instrumented_select)
        3    0.016    0.005    0.115    0.038 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:289(_expand_batch)
       27    0.034    0.001    0.092    0.003 {built-in method time.sleep}
        3    0.015    0.005    0.056    0.019 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:226(_select_batch)
       14    0.010    0.001    0.044    0.003 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:213(clone_states)
       11    0.020    0.002    0.042    0.004 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:972(batch_action_to_child)
       97    0.037    0.000    0.037    0.000 {built-in method torch.where}
       14    0.020    0.001    0.034    0.002 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:415(add_children_batch)
       28    0.003    0.000    0.023    0.001 /home/cosmo/venv/lib/python3.12/site-packages/psutil/__init__.py:1964(virtual_memory)
       14    0.003    0.000    0.019    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:119(allocate_states)
       14    0.018    0.001    0.018    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:738(batch_get_children)
       50    0.018    0.000    0.018    0.000 {method 'cpu' of 'torch._C.TensorBase' objects}
      108    0.002    0.000    0.017    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:225(memory_stats)
        3    0.000    0.000    0.017    0.006 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:371(instrumented_evaluate)
       11    0.000    0.000    0.015    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:782(batch_select_ucb_optimized)
