cProfile Report
Configuration: wave_size=3072, simulations=25000
Performance: 23,141 sims/s
================================================================================
         215134 function calls (159352 primitive calls) in 1.078 seconds

   Ordered by: cumulative time
   List reduced from 214 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    1.078    1.078 /home/cosmo/omoknuni_quantum/python/mcts/core/mcts.py:134(search)
        1    0.000    0.000    1.078    1.078 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:130(search)
        9    0.000    0.000    1.076    0.120 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:205(_search_wave)
       36    0.001    0.000    1.040    0.029 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:390(_profile_phase)
        9    0.000    0.000    0.524    0.058 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:368(instrumented_expand)
        9    0.000    0.000    0.388    0.043 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:365(instrumented_select)
        9    0.041    0.005    0.305    0.034 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:289(_expand_batch)
       91    0.149    0.002    0.264    0.003 {built-in method time.sleep}
        9    0.068    0.008    0.260    0.029 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:226(_select_batch)
        9    0.000    0.000    0.183    0.020 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:371(instrumented_evaluate)
       48    0.030    0.001    0.154    0.003 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:213(clone_states)
      184    0.017    0.000    0.130    0.001 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_common.py:452(wrapper)
      285    0.126    0.000    0.126    0.000 {built-in method torch.where}
       30    0.049    0.002    0.110    0.004 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:972(batch_action_to_child)
       48    0.058    0.001    0.097    0.002 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:415(add_children_batch)
       92    0.016    0.000    0.089    0.001 /home/cosmo/venv/lib/python3.12/site-packages/psutil/__init__.py:1964(virtual_memory)
       48    0.011    0.000    0.072    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:119(allocate_states)
       30    0.000    0.000    0.064    0.002 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:782(batch_select_ucb_optimized)
      164    0.064    0.000    0.064    0.000 {method 'cpu' of 'torch._C.TensorBase' objects}
       92    0.012    0.000    0.062    0.001 /home/cosmo/venv/lib/python3.12/site-packages/psutil/__init__.py:1009(cpu_percent)
      348    0.006    0.000    0.060    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:225(memory_stats)
       48    0.058    0.001    0.058    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:153(_reset_states)
       39    0.050    0.001    0.052    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:738(batch_get_children)
56028/348    0.035    0.000    0.045    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:314(_recurse_add_to_result)
       48    0.042    0.001    0.042    0.001 {built-in method torch.repeat_interleave}
       48    0.035    0.001    0.035    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:1198(set_expanded)
       30    0.000    0.000    0.035    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:1257(ensure_consistent)
