cProfile Report
Configuration: wave_size=4096, simulations=25000
Performance: 34,020 sims/s
================================================================================
         159050 function calls (117855 primitive calls) in 0.733 seconds

   Ordered by: cumulative time
   List reduced from 214 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    0.733    0.733 /home/cosmo/omoknuni_quantum/python/mcts/core/mcts.py:134(search)
        1    0.000    0.000    0.733    0.733 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:130(search)
        7    0.000    0.000    0.731    0.104 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:205(_search_wave)
       28    0.002    0.000    0.731    0.026 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:390(_profile_phase)
        7    0.000    0.000    0.343    0.049 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:368(instrumented_expand)
        7    0.000    0.000    0.278    0.040 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:365(instrumented_select)
        7    0.033    0.005    0.240    0.034 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:289(_expand_batch)
       66    0.114    0.002    0.225    0.003 {built-in method time.sleep}
        7    0.048    0.007    0.171    0.024 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:226(_select_batch)
       31    0.016    0.001    0.092    0.003 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:213(clone_states)
       23    0.040    0.002    0.085    0.004 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:972(batch_action_to_child)
      207    0.084    0.000    0.084    0.000 {built-in method torch.where}
        7    0.000    0.000    0.078    0.011 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:374(instrumented_backup)
       31    0.043    0.001    0.070    0.002 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:415(add_children_batch)
       31    0.007    0.000    0.049    0.002 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:119(allocate_states)
       67    0.006    0.000    0.046    0.001 /home/cosmo/venv/lib/python3.12/site-packages/psutil/__init__.py:1964(virtual_memory)
       23    0.000    0.000    0.045    0.002 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:782(batch_select_ucb_optimized)
      257    0.004    0.000    0.043    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:225(memory_stats)
       30    0.040    0.001    0.042    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:738(batch_get_children)
      109    0.039    0.000    0.039    0.000 {method 'cpu' of 'torch._C.TensorBase' objects}
        7    0.000    0.000    0.032    0.005 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:371(instrumented_evaluate)
       31    0.032    0.001    0.032    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:153(_reset_states)
41377/257    0.025    0.000    0.032    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:314(_recurse_add_to_result)
       31    0.027    0.001    0.027    0.001 {built-in method torch.repeat_interleave}
       23    0.000    0.000    0.025    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:1257(ensure_consistent)
        7    0.015    0.002    0.025    0.004 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:1205(_rebuild_row_pointers)
      123    0.001    0.000    0.022    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:523(memory_allocated)
        7    0.012    0.002    0.022    0.003 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:400(_evaluate_batch)
      134    0.000    0.000    0.022    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:561(memory_reserved)
       67    0.007    0.000    0.021    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/__init__.py:1009(cpu_percent)
      107    0.020    0.000    0.020    0.000 {built-in method torch.tensor}
       31    0.019    0.001    0.019    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:1198(set_expanded)
       23    0.004    0.000    0.018    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/unified_kernels.py:111(batch_ucb_selection)
        7    0.008    0.001    0.014    0.002 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:459(_backup_batch)
      134    0.001    0.000    0.010    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_common.py:452(wrapper)
  201/134    0.000    0.000    0.009    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_pslinux.py:1642(wrapper)
       85    0.000    0.000    0.009    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/__init__.py:1030(synchronize)
       31    0.006    0.000    0.008    0.000 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:299(apply_moves)
       85    0.007    0.000    0.007    0.000 {built-in method torch._C._cuda_synchronize}
       58    0.000    0.000    0.007    0.000 {built-in method builtins.next}
       58    0.000    0.000    0.007    0.000 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:186(timer)
       67    0.004    0.000    0.007    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_pslinux.py:352(virtual_memory)
       29    0.000    0.000    0.006    0.000 /usr/lib/python3.12/contextlib.py:141(__exit__)
       29    0.000    0.000    0.006    0.000 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:168(end_timer)
       67    0.000    0.000    0.006    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_pslinux.py:1863(cpu_times)
       67    0.000    0.000    0.005    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_pslinux.py:1701(_parse_stat_file)
        7    0.005    0.001    0.005    0.001 {method 'item' of 'torch._C.TensorBase' objects}
      201    0.000    0.000    0.004    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_common.py:765(open_binary)
       67    0.000    0.000    0.004    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_common.py:812(bcat)
      201    0.004    0.000    0.004    0.000 {built-in method _io.open}


