cProfile Report
Configuration: wave_size=1824, simulations=25000
Performance: 13,100 sims/s
================================================================================
         391737 function calls (289627 primitive calls) in 1.906 seconds

   Ordered by: cumulative time
   List reduced from 214 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    1.906    1.906 /home/cosmo/omoknuni_quantum/python/mcts/core/mcts.py:134(search)
        1    0.000    0.000    1.906    1.906 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:130(search)
       14    0.000    0.000    1.904    0.136 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:205(_search_wave)
       56    0.002    0.000    1.904    0.034 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:390(_profile_phase)
       14    0.000    0.000    1.034    0.074 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:368(instrumented_expand)
      174    0.251    0.001    0.721    0.004 {built-in method time.sleep}
       14    0.060    0.004    0.642    0.046 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:289(_expand_batch)
       14    0.000    0.000    0.610    0.044 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:365(instrumented_select)
      101    0.061    0.001    0.335    0.003 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:213(clone_states)
       14    0.081    0.006    0.286    0.020 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:226(_select_batch)
      101    0.150    0.001    0.242    0.002 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:415(add_children_batch)
       14    0.000    0.000    0.232    0.017 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:371(instrumented_evaluate)
      528    0.228    0.000    0.228    0.000 {built-in method torch.where}
      175    0.020    0.000    0.207    0.001 /home/cosmo/venv/lib/python3.12/site-packages/psutil/__init__.py:1964(virtual_memory)
       52    0.093    0.002    0.193    0.004 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:972(batch_action_to_child)
      101    0.023    0.000    0.170    0.002 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:119(allocate_states)
      333    0.126    0.000    0.126    0.000 {method 'cpu' of 'torch._C.TensorBase' objects}
      101    0.120    0.001    0.121    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:153(_reset_states)
      637    0.010    0.000    0.106    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:225(memory_stats)
      175    0.017    0.000    0.095    0.001 /home/cosmo/venv/lib/python3.12/site-packages/psutil/__init__.py:1009(cpu_percent)
      101    0.093    0.001    0.093    0.001 {built-in method torch.repeat_interleave}
       52    0.000    0.000    0.089    0.002 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:782(batch_select_ucb_optimized)
       66    0.084    0.001    0.086    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:738(batch_get_children)
102557/637    0.061    0.000    0.078    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:314(_recurse_add_to_result)
      101    0.070    0.001    0.070    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:1198(set_expanded)
      350    0.013    0.000    0.070    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_common.py:452(wrapper)
      331    0.067    0.000    0.067    0.000 {built-in method torch.tensor}
      350    0.001    0.000    0.054    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:561(memory_reserved)
      287    0.001    0.000    0.054    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/memory.py:523(memory_allocated)
       52    0.000    0.000    0.047    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:1257(ensure_consistent)
       52    0.008    0.000    0.043    0.001 /home/cosmo/omoknuni_quantum/python/mcts/gpu/unified_kernels.py:111(batch_ucb_selection)
       14    0.022    0.002    0.041    0.003 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:400(_evaluate_batch)
       14    0.022    0.002    0.036    0.003 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:1205(_rebuild_row_pointers)
      101    0.021    0.000    0.029    0.000 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:299(apply_moves)
       14    0.000    0.000    0.029    0.002 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:374(instrumented_backup)
  525/350    0.001    0.000    0.027    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_pslinux.py:1642(wrapper)
      175    0.009    0.000    0.019    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_pslinux.py:352(virtual_memory)
      169    0.000    0.000    0.018    0.000 /home/cosmo/venv/lib/python3.12/site-packages/torch/cuda/__init__.py:1030(synchronize)
      175    0.001    0.000    0.018    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_pslinux.py:1863(cpu_times)
       14    0.007    0.001    0.017    0.001 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:459(_backup_batch)
      175    0.001    0.000    0.016    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_pslinux.py:1701(_parse_stat_file)
      114    0.000    0.000    0.015    0.000 {built-in method builtins.next}
      114    0.000    0.000    0.014    0.000 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:186(timer)
      169    0.014    0.000    0.014    0.000 {built-in method torch._C._cuda_synchronize}
      175    0.000    0.000    0.014    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_common.py:812(bcat)
      525    0.001    0.000    0.013    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_common.py:765(open_binary)
       14    0.013    0.001    0.013    0.001 {built-in method torch.bincount}
       57    0.000    0.000    0.013    0.000 /usr/lib/python3.12/contextlib.py:141(__exit__)
       57    0.000    0.000    0.012    0.000 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:168(end_timer)
      175    0.001    0.000    0.012    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_common.py:795(cat)


