cProfile Report
Configuration: wave_size=4096, simulations=10000
Performance: 41,521 sims/s
================================================================================
         54554 function calls (40609 primitive calls) in 0.239 seconds

   Ordered by: cumulative time
   List reduced from 214 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    0.239    0.239 /home/cosmo/omoknuni_quantum/python/mcts/core/mcts.py:134(search)
        1    0.000    0.000    0.239    0.239 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:130(search)
        3    0.000    0.000    0.237    0.079 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:205(_search_wave)
       12    0.002    0.000    0.233    0.019 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:390(_profile_phase)
        3    0.000    0.000    0.109    0.036 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:368(instrumented_expand)
        3    0.000    0.000    0.109    0.036 /home/cosmo/omoknuni_quantum/python/mcts_comprehensive_profiler.py:365(instrumented_select)
       20    0.030    0.002    0.097    0.005 {built-in method time.sleep}
        3    0.015    0.005    0.047    0.016 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:226(_select_batch)
        3    0.007    0.002    0.044    0.015 /home/cosmo/omoknuni_quantum/python/mcts/core/unified_mcts.py:289(_expand_batch)
        9    0.005    0.001    0.030    0.003 /home/cosmo/omoknuni_quantum/python/mcts/gpu/gpu_game_states.py:213(clone_states)
       69    0.029    0.000    0.029    0.000 {built-in method torch.where}
        8    0.013    0.002    0.028    0.004 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:972(batch_action_to_child)
        9    0.013    0.001    0.022    0.002 /home/cosmo/omoknuni_quantum/python/mcts/gpu/csr_tree.py:415(add_children_batch)
       42    0.003    0.000    0.019    0.000 /home/cosmo/venv/lib/python3.12/site-packages/psutil/_common.py:452(wrapper)
